year,Zip Code,Number of Crimes,Crime Rate
2015,78728,57,0.04933996970352737
2015,78729,1621,1.4031594892880328
2015,78730,173,0.14975113611772345
2015,78731,1333,1.153862800259684
2015,78732,15,0.012984202553559834
2015,78733,58,0.05020558320709803
2015,78734,4,0.003462454014282623
2015,78735,811,0.7020125513958018
2015,78736,225,0.19476303830339753
2015,78737,16,0.013849816057130492
2015,78738,1,0.0008656135035706558
2015,78739,407,0.35230469595325686
2015,78741,9589,8.300367885739018
2015,78742,156,0.1350357065570223
2015,78744,6635,5.7433455961913005
2015,78745,7293,6.312919281540792
2015,78746,1558,1.3486258385630816
2015,78747,895,0.7747240856957369
2015,78748,4148,3.59056481281108
2015,78749,2092,1.8108634494698117
2015,78750,1335,1.1555940272668253
2015,78751,3125,2.705042198658299
2015,78752,3620,3.1335208829257737
2015,78753,9483,8.208612854360528
2015,78754,1231,1.065570222895477
2015,78756,832,0.7201904349707856
2015,78757,2791,2.4159272884657
2015,78758,8058,6.975113611772343
2015,78759,3241,2.8054533650724953
2016,78610,4,0.0035752592062924565
2016,78613,506,0.45227028959599574
2016,78617,941,0.8410797282803003
2016,78652,44,0.03932785126921702
2016,78653,139,0.12424025741866285
2016,78660,393,0.3512692170182338
2016,78664,6,0.005362888809438684
2016,78681,4,0.0035752592062924565
2016,78701,8075,7.217554522702896
2016,78702,5435,4.8578834465498755
2016,78703,1740,1.5552377547372185
2016,78704,7392,6.607079013228459
2016,78705,2571,2.297997854844476
2016,78712,21,0.018770110833035397
2016,78717,852,0.7615302109402932
2016,78719,986,0.8813013943510905
2016,78721,2163,1.9333214158026457
2016,78722,810,0.7239899892742224
2016,78723,6117,5.467465141222739
2016,78724,2074,1.8537718984626386
2016,78725,224,0.20021451555237757
2016,78726,681,0.6086878798712907
2016,78727,1624,1.4515552377547374
2016,78728,51,0.04558455488022881
2016,78729,1761,1.5740078655702539
2016,78730,146,0.13049696102967465
2016,78731,1235,1.103861279942796
2016,78732,12,0.010725777618877368
2016,78733,26,0.023239184840900966
2016,78734,3,0.002681444404719342
2016,78735,838,0.7490168037182695
2016,78736,292,0.2609939220593493
2016,78737,9,0.008044333214158025
2016,78738,2,0.0017876296031462283
2016,78739,369,0.32981766178047905
2016,78741,9917,8.863961387200572
2016,78742,173,0.15462996067214874
2016,78744,6557,5.860743653914908
